阿拉伯語,阿拉伯语,Ā lā bó yǔ,"Arabic (language)"
抄襲,抄袭,chāo xí,"to plagiarize, to copy, to attack the flank or rear of an enemy"
鈔票,钞票,chāopiào,"bank note, paper money, bill"
超標,超标,chāo biāo,"to cross the limit, to be over the accepted norm, excessive"
超車,超车,chāo chē,"to overtake (another car)"
超前,超前,chāo qián,"to be ahead of one's time, to surpass or outdo one's predecessors, to be ahead of the pack, to take the lead, advanced"
超速,超速,chāo sù,"to exceed the speed limit, to speed, high-speed"
朝代,朝代,cháo dài,"dynasty, reign (of a king)"
朝著,朝着,cháo zhe,"facing, advancing (towards)"
嘲弄,嘲弄,cháo nòng,"to tease, to poke fun at, to make fun of"
嘲笑,嘲笑,cháo xiào,"to jeer at, to deride, to ridicule, mockery, derision"
吵嘴,吵嘴,chǎo zuǐ,"to quarrel"
車道,车道,chē dào,"traffic lane, driveway"
車禍,车祸,chēhuò,"smash-up, road accident, traffic accident"
車間,车间,chē jiān,"workshop, CL:個|个[ge4]"
車輪,车轮,chē lún,"wheel"
車速,车速,chē sù,"vehicle speed"
車位,车位,chē wèi,"parking spot, unloading point, garage place, stand for taxi"
車廂,车厢,chē xiāng,"carriage, CL:節|节[jie2]"
車型,车型,chēxíng,"Model"
車軸,车轴,chē zhoú,"axle, CL:根[gen1]"
撦,扯,chě, chě,"variant of 扯[che3], to pull, to tear"
徹夜,彻夜,chè yè,"the whole night"
撤,撤,chè,"to remove, to take away, to withdraw"
撤換,撤换,chè huàn,"recall, dismiss and replace"
沉甸甸,沉甸甸,chén diàn diàn,"heavy"
沉澱,沉淀,chén diàn,"to settle, to precipitate (solid sediment out of a solution)"
沉浸,沉浸,chén jìn,"to soak, to permeate, to immerse"
沉悶,沉闷,chén mèn,"oppressive (of weather), heavy, depressed, not happy, (of sound) dull, muffled"
沉迷,沉迷,chén mí,"to be engrossed, to be absorbed with, to lose oneself in, to be addicted to"
沉思,沉思,chén sī,"to contemplate, to ponder, contemplation, meditation"
沉穩,沉稳,chén wěn,"steady, calm, unflustered"
沉著,沉着,chén zhuó,"steady, calm and collected, not nervous"
陳舊,陈旧,chén jiù,"old-fashioned"
陳列,陈列,chénliè,"display, exhibit"
陳述,陈述,chén shù,"an assertion, to declare, to state"
襯托,衬托,chèn tuō,"to set off"
趁,趁,chèn,while
趁機,趁机,chènjī,"seizing the chance, take advantage of occasion, taking advantage of the occasion, seize chance"
趁早,趁早,chèn zǎo,"as soon as possible, at the first opportunity, the sooner the better, before it's too late"
趁著,趁着,chènzhe5,while
稱呼,称呼,chēnghū,"call, address"
稱作,称作,chēng zuò,"to be called, to be known as"
成才,成才,chéng cái,"to make sth of oneself, to become a person who is worthy of respect"
成家,成家,chéng jiā,"to settle down and get married (of a man), to become a recognized expert"
成年,成年,chéng nián,"to grow to adulthood, fully grown, the whole year"
成千上萬,成千上万,chéng qiān shàng wàn,"lit. by the thousands and tens of thousands (idiom), untold numbers, innumerable, thousands upon thousands"
成群結隊,成群结队,chéng qún jié duì,"making up a group, forming a troupe (idiom), in large numbers, as a large crowd"
成天,成天,chéng tiān,"(coll.) all day long, all the time"
成問題,成问题,chéngwèntí,"Problem"
成型,成型,chéng xíng,"to become shaped, to become formed"
呈現,呈现,chéngxiàn,"assume, crop out, dish, appearance, show, lay out, present, basset, appear, take_on, emergence, emerge, come forth"
誠懇,诚恳,chéngkěn,sincere
誠心誠意,诚心诚意,chéng xīn chéng yì,"earnestly and sincerely (idiom), with all sincerity"
誠意,诚意,chéngyì,"candour, singleness, sincerity, good faith, candor"
誠摯,诚挚,chéng zhì,"sincere, cordial"
承包,承包,chéng bāo,"to contract, to undertake (a job)"
承載,承载,chéng zài,"to bear the weight, to sustain"
城牆,城墙,chéngqiáng,"enceinte, city wall, rampart"
乘人之危,乘人之危,chéng rén zhī wēi,"to take advantage of sb's precarious position"
盛,盛,shèng,"flourishing, prosperous, vigorous, energetic, magnificent, grand, abundant, plentiful, popular, widespread"
懲處,惩处,chéng chǔ,"to punish, to administer justice"
懲罰,惩罚,chéng fá,"penalty, punishment, to punish"
澄清,澄清,chéngqīng,"clear up, clarify"
橙汁,橙汁,chéng zhī,"orange juice, CL:瓶[ping2],杯[bei1],罐[guan4],盒[he2]"
逞能,逞能,chěng néng,"to show off one's ability, to boast one's merits"
逞強,逞强,chěng qiáng,"to show off, to try to be brave"
秤,秤,chēng, chèng,"variant of 稱|称[cheng1], to weigh, steelyard, Roman balance, CL:臺|台[tai2]"
吃不上,吃不上,chī bu shàng,"unable to get anything to eat, to miss a meal"
吃喝玩樂,吃喝玩乐,chī hē wán lè,"to eat, drink and be merry (idiom), to abandon oneself to a life of pleasure"
吃苦,吃苦,chī kǔ,"to bear hardships"
吃虧,吃亏,chīkuī,"get the worst of it, come to grief, suffer loss, suffer losses"
癡呆,痴呆,chī dāi, chī dāi,"imbecility, dementia"
痴迷,痴迷,chī mí,"infatuated, obsessed"
痴心,痴心,chī xīn,"infatuation"
池塘,池塘,chí táng,"pool, pond"
馳名,驰名,chí míng,"famous"
遲遲,迟迟,chí chí,"late (with a task etc), slow"
遲疑,迟疑,chí yí,"to hesitate"
遲早,迟早,chí zǎo,"sooner or later"
持,持,chí,"hold, grasp"
持久,持久,chí jiǔ,"lasting, enduring, persistent, permanent, protracted, endurance, persistence, to last long"
持之以恆,持之以恒,chí zhī yǐ héng,"to pursue unremittingly (idiom), to persevere"
尺度,尺度,chǐdù,"measure, scale"
恥辱,耻辱,chǐ rǔ,"disgrace, shame, humiliation"
恥笑,耻笑,chǐ xiào,"to sneer at sb, to ridicule"
赤字,赤字,chì zì,"(financial) deficit, red letter"
翅膀,翅膀,chìbǎng,"pinion, vane, plumage, pennon, flier, wing"
衝刺,冲刺,chōng cì,"to sprint, to spurt, to dash, big effort"
衝浪,冲浪,chōng làng,"to surf, surfing"
沖洗,冲洗,chōng xǐ,"to rinse, to wash, to develop (photographic film)"
衝撞,冲撞,chōng zhuàng,"to collide, jerking motion, to impinge, to offend, to provoke"
充,充,chōng,"to fill, to satisfy, to fulfill, to act in place of, substitute, sufficient, full"
充當,充当,chōng dāng,"to serve as, to act as, to play the role of"
充沛,充沛,chōng pèi,"abundant, plentiful, vigorous"
充實,充实,chōngshí,"substantiate, enrich, replenish"
重播,重播,chóngbō,"Replay"
重疊,重叠,chóngdié,"telescope, duplicate, superpose, overlap, repeated, lap"
重返,重返,chóng fǎn,"to return to"
重合,重合,chóng hé,"to match up, to coincide"
重申,重申,chóng shēn,"to reaffirm, to reiterate"
重現,重现,chóng xiàn,"to reappear"
崇高,崇高,chónggāo,"lofty, sublime"
崇尚,崇尚,chóng shàng,"to hold up (as an model), to hold in esteem, to revere, to advocate"
寵,宠,chǒng,"to love, to pamper, to spoil, to favor"
寵愛,宠爱,chǒng ài,"to dote on sb"
抽籤,抽签,choū qiān,"to perform divination with sticks, to draw lots, a ballot (in share dealing)"
抽屜,抽屉,choū ti,"drawer"
抽象,抽象,chōuxiàng,abstract
仇,仇,Qiú, choú, qiú,"surname Qiu, hatred, animosity, enmity, foe, enemy, to feel animosity toward (the wealthy, foreigners etc), spouse, companion"
仇恨,仇恨,choú hèn,"to hate, hatred, enmity, hostility"
仇人,仇人,choú rén,"foe, one's personal enemy"
稠,稠,choú,"dense, crowded, thick, many"
稠密,稠密,choú mì,"dense"
愁眉苦臉,愁眉苦脸,choú méi kǔ liǎn,"to look anxious (idiom), to look miserable"
籌,筹,choú,"chip (in gambling), token (for counting), ticket, to prepare, to plan, to raise (funds), resource, means"
籌辦,筹办,choú bàn,"to arrange, to make preparations"
籌備,筹备,chóubèi,"prepare, arrange, plan"
籌措,筹措,choú cuò,"to raise (money)"
籌劃,筹划,choú huà,"to plan and prepare"
籌集,筹集,choú jí,"to collect money, to raise funds"
籌碼,筹码,chóumǎ,"counter, jetton, dib, poker chip, chip, bargaining chip, medium_of_exchange"
醜惡,丑恶,choǔ è,"ugly, repulsive"
醜陋,丑陋,choǔ loù,"ugly"
醜聞,丑闻,choǔ wén,"scandal"
矁,瞅,choǔ, choǔ,"old variant of 瞅[chou3]"
出版社,出版社,chūbǎnshè,"publisher, press"
出廠,出厂,chū chǎng,"to leave the factory (of finished goods)"
出醜,出丑,chū choǔ,"shameful, scandalous, to be humiliated, to make a fool of sb or oneself, to make sb lose face"
出道,出道,chū dào,"to make one's first public performance (of an entertainer etc), to start one's career"
出發點,出发点,chūfādiǎn,"terminus a quo, base, takeoff, starting_point, start, starting_post, beachhead, springboard, starting, starting point, starting post"
出風頭,出风头,chū fēng tou,"to push oneself forward, to seek fame, to be in the limelight, same as 出鋒頭|出锋头[chu1 feng1 tou5]"
出境,出境,chū jìng,"to leave a country or region, emigration, outbound (tourism)"
出局,出局,chūjú,"out, out of game"
出具,出具,chū jù,"to issue (document, certificate etc), to provide"
出口成章,出口成章,chū koǔ chéng zhāng,"to speak like a printed book, quick and clever talking, the gift of the gab"
出賣,出卖,chūmài,"sell_out, traffic, sell out, barter_away, peach, sell sb. down the river, lead astray, betray, sell, betrayal, go_back_on, offer for sale, double-cross, deceive"
出毛病,出毛病,chū máo bìng,"a problem appears, to break down"
出難題,出难题,chū nán tí,"to raise a tough question"
出人意料,出人意料,chū rén yì liào,"unexpected (idiom), surprising"
出任,出任,chūrèn,take up the post of
出山,出山,chū shān,"to leave the mountain (of a hermit), to come out of obscurity to a government job, to take a leading position"
出身,出身,chūshēn,"class origin, family background;one's previous experience/occupation"
出示,出示,chū shì,"to show, to take out and show to others, to display"
出手,出手,chū shoǔ,"to dispose of, to spend (money), to undertake a task"
出頭,出头,chū toú,"to get out of a predicament, to stick out, to take the initiative, remaining odd fraction after a division, a little more than"
出土,出土,chūtǔ,"be unearthed, come out of the ground"
出息,出息,chū xī, chū xi,"to yield interest, profit etc, to exhale (Buddhism), future prospects, profit, to mature, to grow up"
出血,出血,chūxiě,"shed blood, have a hemorrhage, bleeding, bleed, spend money, phlebotomize, hemorrhage, hemorrhagic, leech"
出演,出演,chū yǎn,"to appear (in a show etc), an appearance (on stage etc)"
出洋相,出洋相,chū yáng xiàng,"to make a fool of oneself"
出遊,出游,chū yoú,"to go on a tour, to have an outing"
出眾,出众,chū zhòng,"to stand out, outstanding"
齣主意,出主意,chū zhǔyi,"Idea"
出資,出资,chū zī,"to fund, to put money into sth, to invest"
出自,出自,chūzì,"come from, be out of"
出走,出走,chūzǒu,"leave, run away, flee"
初次,初次,chū cì,"for the first time, first (meeting, attempt etc)"
初衷,初衷,chū zhōng,"original intention or aspiration"
除此之外,除此之外,chúcǐzhīwài,"additionally, in addition, with the exception of this, in_addition, to boot, excepting this"
除去,除去,chúqù,eliminate
除外,除外,chú wài,"to exclude, not including sth (when counting or listing), except for"
處方,处方,chǔ fāng,"medical prescription, recipe, formula"
處境,处境,chǔjìng,"situation, site, plight, situation (usu. unfavorable), predicament, circumstances"
處置,处置,chǔzhì,"deal with, manage, dispose of, punish"
儲備,储备,chǔ bèi,"reserves, to store up"
儲蓄,储蓄,chǔ xù,"to deposit money, to save, savings"
觸動,触动,chù dòng,"to touch, to stir up (trouble or emotions), to move (sb's emotions or worry)"
觸犯,触犯,chù fàn,"to offend"
觸覺,触觉,chù jué,"touch, sense of touch"
觸摸,触摸,chù mō,"to touch"
觸目驚心,触目惊心,chù mù jīng xīn,"lit. shocks the eye, astonishes the heart (idiom), shocking, horrible to see, a ghastly sight"
揣,揣,chuāi, chuǎi,"to put into (one's pockets, clothes), Taiwan pr. [chuai3], to estimate, to guess, to figure, to surmise"
揣測,揣测,chuǎi cè,"to guess, to conjecture"
揣摩,揣摩,chuǎi mó,"to analyze, to try to figure out, to try to fathom"
踹,踹,chuài,"to kick, to trample, to tread on"
川流不息,川流不息,chuān liú bù xī,"the stream flows without stopping (idiom), unending flow"
穿過,穿过,chuānguò,"thread, pass through, traverse, penetrate, hook, go through, riddle, pierce, twist, go across, cleave, pass, lace, put_through, lace up, cut_through, cut across, cross, break, shoot"
穿小鞋,穿小鞋,chuān xiǎo xié,"lit. to make sb wear tight shoes (idiom), to make life difficult for sb"
穿越,穿越,chuānyuè,"cut, pass through, cut across, cross"
穿著,穿着,chuānzhuó,"dress, apparel"
傳承,传承,chuánchéng,pass down through generations
傳奇,传奇,chuánqí,"legendry, romance, Tang and Song short stories, Ming and Qing poetic dramas, fable, short_story, legend"
傳染,传染,chuánrǎn,"infect, be contagious"
傳染病,传染病,chuán rǎn bìng,"infectious disease, contagious disease, pestilence"
傳人,传人,chuán rén,"to teach, to impart, a disciple, descendant"
傳授,传授,chuán shoù,"to impart, to pass on, to teach"
傳聞,传闻,chuán wén,"rumor"
船舶,船舶,chuán bó,"shipping, boats"
船槳,船桨,chuánjiǎng,"Marker"
喘,喘,chuǎn,"to gasp, to pant, asthma"
喘息,喘息,chuǎn xī,"to gasp for breath, to take a breather"
串門,串门,chuàn mén,"to call on sb, to drop in, to visit sb's home"
創傷,创伤,chuāng shāng,"wound, injury, trauma"
床位,床位,chuáng wèi,"bed (in hospital, hotel, train etc), berth, bunk"
創,创,chuàng,"initiate, create, start doing, achieve ... for the first time, initiate (sth.)"
創始人,创始人,chuàng shǐ rén,"creator, founder, initiator"
吹了,吹了,chuī le,"failed, busted, to have not succeeded, to have died, to have parted company, to have chilled (of a relationship)"
吹牛,吹牛,chuī niú,"to talk big, to shoot off one's mouth, to chat (dialect)"
吹捧,吹捧,chuī pěng,"to flatter, to laud sb's accomplishments, adulation"
垂,垂,chuí,"to hang (down), droop, dangle, bend down, hand down, bequeath, nearly, almost, to approach"
垂頭喪氣,垂头丧气,chuí toú sàng qì,"hanging one's head dispiritedly (idiom), dejected, crestfallen"
搥,捶,chuí, chuí,"variant of 捶[chui2]"
錘子,锤子,chuí zi,"hammer, CL:把[ba3]"
純粹,纯粹,chúncuì,"unmixed, unalloyed, pure, unadulterated"
純潔,纯洁,chún jié,"pure, clean and honest, to purify"
純樸,纯朴,chún pǔ,"variant of 淳樸|淳朴[chun2 pu3]"
醇厚,醇厚,chún hoù,"mellow and rich, simple and kind"
蠢,蠢,chǔn, chǔn,"stupid, sluggish, clumsy, to wiggle (of worms), to move in a disorderly fashion"
戳,戳,chuō,"to jab, to poke, to stab, to sprain, to blunt, to fuck (vulgar), to stand sth upright"
綽號,绰号,chuòhào,nickname
瓷,瓷,cí,"chinaware, porcelain, china"
瓷器,瓷器,cíqì,"porcelain, chinaware"
辭,辞,cí, cí,"to resign, to dismiss, to decline, to take leave, ballad (archaic poetic genre), variant of 詞|词[ci2]"
辭呈,辞呈,cí chéng,"(written) resignation"
辭去,辞去,cí qù,"to resign, to quit"
辭退,辞退,cí tuì,"to dismiss, to discharge, to fire"
慈善,慈善,císhàn,"benevolent, charitable, philanthropic, benevolently"
慈祥,慈祥,cí xiáng,"kindly, benevolent (often of older person)"
磁帶,磁带,cí dài,"magnetic tape, CL:盤|盘[pan2],盒[he2]"
磁卡,磁卡,cí kǎ,"magnetic card, IC Card (telephone)"
磁盤,磁盘,cí pán,"(computer) disk"
