阿拉伯語	阿拉伯语	Ālābóyǔ	Arabic (language)
沉著	沉着	chénzhuó	steady, calm and collected, not nervous
陳舊	陈旧	chénjiù	old-fashioned
陳列	陈列	chénliè	display, exhibit
陳述	陈述	chénshù	an assertion, to declare, to state
襯托	衬托	chèntuō	to set off
趁	趁	chèn	while
趁機	趁机	chènjī	seizing the chance, take advantage of occasion, taking advantage of the occasion, seize chance
趁早	趁早	chènzǎo	as soon as possible, at the first opportunity, the sooner the better, before it's too late
趁著	趁着	chènzhe	while
稱呼	称呼	chēnghu	call, address
稱作	称作	chēngzuò	to be called, to be known as
成才	成才	chéng cái	to make sth of oneself, to become a person who is worthy of respect
成家	成家	chéng jiā	to settle down and get married (of a man), to become a recognized expert
成年	成年	chéng nián	to grow to adulthood, fully grown, the whole year
成千上萬	成千上万	chéngqiān-shàngwàn	lit. by the thousands and tens of thousands (idiom), untold numbers, innumerable, thousands upon thousands
成群結隊	成群结队	chéngqún-jiéduì	making up a group, forming a troupe (idiom), in large numbers, as a large crowd
成天	成天	chéngtiān	(coll.) all day long, all the time
成問題	成问题	chéng wèntí	Problem
成型	成型	chéngxíng	to become shaped, to become formed
呈現	呈现	chéngxiàn	assume, crop out, dish, appearance, show, lay out, present, basset, appear, take_on, emergence, emerge, come forth
誠懇	诚恳	chéngkěn	sincere
誠心誠意	诚心诚意	chéngxīn-chéngyì	earnestly and sincerely (idiom), with all sincerity
誠意	诚意	chéngyì	candour, singleness, sincerity, good faith, candor
誠摯	诚挚	chéngzhì	sincere, cordial
承包	承包	chéngbāo	to contract, to undertake (a job)
承載	承载	chéngzài	to bear the weight, to sustain
城牆	城墙	chéngqiáng	enceinte, city wall, rampart
乘人之危	乘人之危	chéngrénzhīwēi	to take advantage of sb's precarious position
盛	盛	shèng	flourishing, prosperous, vigorous, energetic, magnificent, grand, abundant, plentiful, popular, widespread
懲處	惩处	chéngchǔ	to punish, to administer justice
懲罰	惩罚	chéngfá	penalty, punishment, to punish
澄清	澄清	chéngqīng	clear up, clarify
橙汁	橙汁	chéngzhī	orange juice, CL:瓶[ping2],杯[bei1],罐[guan4],盒[he2]
逞能	逞能	chěng néng	to show off one's ability, to boast one's merits
逞強	逞强	chěng qiáng	to show off, to try to be brave
秤	秤	chèng	variant of 稱|称[cheng1], to weigh, steelyard, Roman balance, CL:臺|台[tai2]
吃不上	吃不上	chībushàng	unable to get anything to eat, to miss a meal
吃喝玩樂	吃喝玩乐	chīhē-wánlè	to eat, drink and be merry (idiom), to abandon oneself to a life of pleasure
吃苦	吃苦	chī kǔ	to bear hardships
吃虧	吃亏	chī kuī	get the worst of it, come to grief, suffer loss, suffer losses
痴呆	痴呆	chīdāi	imbecility, dementia
痴迷	痴迷	chīmí	infatuated, obsessed
痴心	痴心	chīxīn	infatuation
池塘	池塘	chítáng	pool, pond
馳名	驰名	chímíng	famous
遲遲	迟迟	chíchí	late (with a task etc), slow
遲疑	迟疑	chíyí	to hesitate
遲早	迟早	chízǎo	sooner or later
持	持	chí	hold, grasp
持久	持久	chíjiǔ	lasting, enduring, persistent, permanent, protracted, endurance, persistence, to last long
持之以恆	持之以恒	chízhīyǐhéng	to pursue unremittingly (idiom), to persevere
尺度	尺度	chǐdù	measure, scale
恥辱	耻辱	chǐrǔ	disgrace, shame, humiliation
恥笑	耻笑	chǐxiào	to sneer at sb, to ridicule
赤字	赤字	chìzì	(financial) deficit, red letter
翅膀	翅膀	chìbǎng	pinion, vane, plumage, pennon, flier, wing
衝刺	冲刺	chōngcì	to sprint, to spurt, to dash, big effort
衝浪	冲浪	chōnglàng	to surf, surfing
沖洗	冲洗	chōngxǐ	to rinse, to wash, to develop (photographic film)
衝撞	冲撞	chōngzhuàng	to collide, jerking motion, to impinge, to offend, to provoke
充	充	chōng	to fill, to satisfy, to fulfill, to act in place of, substitute, sufficient, full
充當	充当	chōngdāng	to serve as, to act as, to play the role of
充沛	充沛	chōngpèi	abundant, plentiful, vigorous
充實	充实	chōngshí	substantiate, enrich, replenish
重播	重播	chóngbō	Replay
重疊	重叠	chóngdié	telescope, duplicate, superpose, overlap, repeated, lap
重返	重返	chóngfǎn	to return to
重申	重申	chóngshēn	to reaffirm, to reiterate
重現	重现	chóngxiàn	to reappear
重合	重合	chónghé	to match up, to coincide
崇高	崇高	chónggāo	lofty, sublime
崇尚	崇尚	chóngshàng	to hold up (as an model), to hold in esteem, to revere, to advocate
寵	宠	chǒng	to love, to pamper, to spoil, to favor
寵愛	宠爱	chǒngài	to dote on sb
抽簽	抽签	chōu qiān	to perform divination with sticks, to draw lots, a ballot (in share dealing)
抽屜	抽屉	chōuti	drawer
抽象	抽象	chōuxiàng	abstract
仇	仇	chóu	surname Qiu, hatred, animosity, enmity, foe, enemy, to feel animosity toward (the wealthy, foreigners etc), spouse, companion
仇恨	仇恨	chóuhèn	to hate, hatred, enmity, hostility
仇人	仇人	chóurén	foe, one's personal enemy
稠	稠	chóu	dense, crowded, thick, many
稠密	稠密	chóumì	dense
愁眉苦臉	愁眉苦脸	chóuméi-kǔliǎn	to look anxious (idiom), to look miserable
籌	筹	chóu	chip (in gambling), token (for counting), ticket, to prepare, to plan, to raise (funds), resource, means
籌辦	筹办	chóubàn	to arrange, to make preparations
籌措	筹措	chóucuò	to raise (money)
籌劃	筹划	chóuhuà	to plan and prepare
籌碼	筹码	chóumǎ	counter, jetton, dib, poker chip, chip, bargaining chip, medium_of_exchange
籌備	筹备	chóubèi	prepare, arrange, plan
籌集	筹集	chóují	to collect money, to raise funds
醜惡	丑恶	chǒuè	ugly, repulsive
醜陋	丑陋	chǒulòu	ugly
醜聞	丑闻	chǒuwén	scandal
瞅	瞅	chǒu	(dialect) to look at, old variant of 瞅[chou3]
出版社	出版社	chūbǎnshè	publisher, press
出廠	出厂	chū chǎng	to leave the factory (of finished goods)
出醜	出丑	chū chǒu	shameful, scandalous, to be humiliated, to make a fool of sb or oneself, to make sb lose face
出道	出道	chū dào	to make one's first public performance (of an entertainer etc), to start one's career
出發點	出发点	chūfādiǎn	terminus a quo, base, takeoff, starting_point, start, starting_post, beachhead, springboard, starting, starting point, starting post
出風頭	出风头	chū fēngtou	to push oneself forward, to seek fame, to be in the limelight, same as 出鋒頭|出锋头[chu1 feng1 tou5]
出境	出境	chū jìng	to leave a country or region, emigration, outbound (tourism)
出局	出局	chū jú	out, out of game
出具	出具	chūjù	to issue (document, certificate etc), to provide
出口成章	出口成章	chūkǒu-chéngzhāng	to speak like a printed book, quick and clever talking, the gift of the gab
出賣	出卖	chūmài	sell_out, traffic, sell out, barter_away, peach, sell sb. down the river, lead astray, betray, sell, betrayal, go_back_on, offer for sale, double-cross, deceive
出毛病	出毛病	chū máobing	a problem appears, to break down
出難題	出难题	chū nántí	to raise a tough question
出人意料	出人意料	chūrényìliào	unexpected (idiom), surprising
出任	出任	chūrèn	take up the post of
出山	出山	chū shān	to leave the mountain (of a hermit), to come out of obscurity to a government job, to take a leading position
出身	出身	chūshēn	class origin, family background;one's previous experience/occupation
出示	出示	chūshì	to show, to take out and show to others, to display
出手	出手	chū shǒu	to dispose of, to spend (money), to undertake a task
出頭	出头	chū tóu	to get out of a predicament, to stick out, to take the initiative, remaining odd fraction after a division, a little more than
出土	出土	chū tǔ	be unearthed, come out of the ground
出息	出息	chūxi	to yield interest, profit etc, to exhale (Buddhism), future prospects, profit, to mature, to grow up
出血	出血	chūxiě	shed blood, have a hemorrhage, bleeding, bleed, spend money, phlebotomize, hemorrhage, hemorrhagic, leech
出演	出演	chūyǎn	to appear (in a show etc), an appearance (on stage etc)
出洋相	出洋相	chū yángxiàng	to make a fool of oneself
出遊	出游	chūyóu	to go on a tour, to have an outing
出眾	出众	chūzhòng	to stand out, outstanding
出主意	出主意	chū zhǔyì	Idea
出資	出资	chū zī	to fund, to put money into sth, to invest
出自	出自	chūzì	come from, be out of
初次	初次	chūcì	for the first time, first (meeting, attempt etc)
出走	出走	chūzǒu	leave, run away, flee
初衷	初衷	chūzhōng	original intention or aspiration
除此之外	除此之外	chúcǐzhīwài	additionally, in addition, with the exception of this, in_addition, to boot, excepting this
除去	除去	chúqù	eliminate
除外	除外	chúwài	to exclude, not including sth (when counting or listing), except for
處方	处方	chǔfāng	medical prescription, recipe, formula
處境	处境	chǔjìng	situation, site, plight, situation (usu. unfavorable), predicament, circumstances
處置	处置	chǔzhì	deal with, manage, dispose of, punish
儲備	储备	chǔbèi	reserves, to store up
儲蓄	储蓄	chǔxù	to deposit money, to save, savings
觸動	触动	chùdòng	to touch, to stir up (trouble or emotions), to move (sb's emotions or worry)
觸犯	触犯	chùfàn	to offend
觸覺	触觉	chùjué	touch, sense of touch
觸摸	触摸	chùmō	to touch
觸目驚心	触目惊心	chùmù-jīngxīn	lit. shocks the eye, astonishes the heart (idiom), shocking, horrible to see, a ghastly sight
揣	揣	chuāi	to put into (one's pockets, clothes), Taiwan pr. [chuai3], to estimate, to guess, to figure, to surmise
揣測	揣测	chuǎicè	to guess, to conjecture
揣摩	揣摩	chuǎimó	to analyze, to try to figure out, to try to fathom
踹	踹	chuài	to kick, to trample, to tread on
川流不息	川流不息	chuānliú-bùxī	the stream flows without stopping (idiom), unending flow
穿過	穿过	chuān guò	thread, pass through, traverse, penetrate, hook, go through, riddle, pierce, twist, go across, cleave, pass, lace, put_through, lace up, cut_through, cut across, cross, break, shoot
穿小鞋	穿小鞋	chuān xiǎoxié	lit. to make sb wear tight shoes (idiom), to make life difficult for sb
穿越	穿越	chuānyuè	cut, pass through, cut across, cross
穿著	穿着	chuānzhuó	dress, apparel
傳承	传承	chuánchéng	pass down through generations
傳奇	传奇	chuánqí	legendry, romance, Tang and Song short stories, Ming and Qing poetic dramas, fable, short_story, legend
傳染	传染	chuánrǎn	infect, be contagious
傳染病	传染病	chuánrǎnbìng	infectious disease, contagious disease, pestilence
傳人	传人	chuánrén	to teach, to impart, a disciple, descendant
傳授	传授	chuánshòu	to impart, to pass on, to teach
傳聞	传闻	chuánwén	rumor
船舶	船舶	chuánbó	shipping, boats
船槳	船桨	chuánjiǎng	Marker
喘	喘	chuǎn	to gasp, to pant, asthma
喘息	喘息	chuǎnxī	to gasp for breath, to take a breather
串門	串门	chuàn mén	to call on sb, to drop in, to visit sb's home
創傷	创伤	chuāngshāng	wound, injury, trauma
床位	床位	chuángwèi	bed (in hospital, hotel, train etc), berth, bunk
創	创	chuàng	initiate, create, start doing, achieve ... for the first time, initiate (sth.)
創始人	创始人	chuàngshǐrén	creator, founder, initiator
吹了	吹了	chuīle	failed, busted, to have not succeeded, to have died, to have parted company, to have chilled (of a relationship)
吹牛	吹牛	chuī niú	to talk big, to shoot off one's mouth, to chat (dialect)
吹捧	吹捧	chuīpěng	to flatter, to laud sb's accomplishments, adulation
垂	垂	chuí	to hang (down), droop, dangle, bend down, hand down, bequeath, nearly, almost, to approach
垂頭喪氣	垂头丧气	chuítóu-sàngqì	hanging one's head dispiritedly (idiom), dejected, crestfallen
捶	捶	chuí	to beat with the fist, to hammer, to cudgel, variant of 捶[chui2]
錘子	锤子	chuízi	hammer, CL:把[ba3]
純粹	纯粹	chúncuì	unmixed, unalloyed, pure, unadulterated
純潔	纯洁	chúnjié	pure, clean and honest, to purify
純樸	纯朴	chúnpǔ	simple and honest, unsophisticated, guileless, variant of 淳樸|淳朴[chun2 pu3]
醇厚	醇厚	chúnhòu	mellow and rich, simple and kind
蠢	蠢	chǔn	stupid, sluggish, clumsy, to wiggle (of worms), to move in a disorderly fashion
戳	戳	chuō	to jab, to poke, to stab, to sprain, to blunt, to fuck (vulgar), to stand sth upright
綽號	绰号	chuòhào	nickname
瓷	瓷	cí	chinaware, porcelain, china
瓷器	瓷器	cíqì	porcelain, chinaware
辭	辞	cí	to resign, to dismiss, to decline, to take leave, ballad (archaic poetic genre), variant of 詞|词[ci2]
辭呈	辞呈	cíchéng	(written) resignation
辭去	辞去	cíqù	to resign, to quit
辭退	辞退	cítuì	to dismiss, to discharge, to fire
慈善	慈善	císhàn	benevolent, charitable, philanthropic, benevolently
慈祥	慈祥	cíxiáng	kindly, benevolent (often of older person)
磁帶	磁带	cídài	magnetic tape, CL:盤|盘[pan2],盒[he2]
磁卡	磁卡	cíkǎ	magnetic card, IC Card (telephone)
磁盤	磁盘	cípán	(computer) disk
此起彼伏	此起彼伏	cǐqǐ-bǐfú	up here, down there (idiom), to rise and fall in succession, no sooner one subsides, the next arises, repeating continuously, occurring again and again (of applause, fires, waves, protests, conflicts, uprisings etc)
次日	次日	cìrì	next day, the morrow
伺候	伺候	cìhou	to serve, to wait upon
刺耳	刺耳	cìěr	ear-piercing
刺骨	刺骨	cìgǔ	piercing, cutting, bone-chilling, penetrating (cold)
刺繡	刺绣	cìxiù	to embroider, embroidery
賜	赐	cì	favor, award, favour, grant
賜教	赐教	cìjiào	Enlighten me
匆匆	匆匆	cōngcōng	hurriedly
匆忙	匆忙	cōngmáng	hasty, hurried
蔥	葱	cōng	scallion, green onion
從今以後	从今以后	cóngjīnyǐhòu	From now on
從來不	从来不	cóngláibù	never
從容	从容	cóngróng	calm, unhurried, leisurely
從容不迫	从容不迫	cóngróng-bùpò	calm, unruffled
從頭	从头	cóngtóu	anew, from the start
從未	从未	cóngwèi	ne'er, never
從業	从业	cóngyè	to practice (a trade)
從早到晚	从早到晚	cóngzǎodàowǎn	From early as late
叢林	丛林	cónglín	underbrush, chaparral, bosquet, brake, bosk, jungle, forest, copse, jungly, brushwood, grove, thickset, underwood, thicket, mott, Budd. monastery
湊	凑	còu	to gather together, pool or collect, to happen by chance, to move close to, to exploit an opportunity
湊合	凑合	còuhe	to bring together, to make do in a bad situation, to just get by, to improvise, passable, not too bad
湊巧	凑巧	còuqiǎo	fortuitously, luckily, as chance has it
粗暴	粗暴	cūbào	rough, cruel
粗糙	粗糙	cūcāo	crude, gruff, rough, coarse
粗魯	粗鲁	cūlu	coarse, crude (in one's manner), boorish
