阿拉伯语	阿拉伯語	Ā lā bó yǔ	Arabic (language);  
敞开	敞開	chǎng kāi	to open wide; unrestrictedly;  
畅谈	暢談	chàng tán	to chat; a long talk; verbose; to talk freely to one's heart's content;  
畅销	暢銷	chàng xiāo	to sell well; best seller; chart-topping;  
倡议	倡議	chàng yì	to suggest; to initiate; proposal; initiative;  
抄袭	抄襲	chāo xí	to plagiarize; to copy; to attack the flank or rear of an enemy;  
钞票	鈔票	chāo piào	paper money; a bill (e.g. 100 yuan); CL:張|张[zhang1],紮|扎[za1];  
超标	超標	chāo biāo	to cross the limit; to be over the accepted norm; excessive;  
超车	超車	chāo chē	to overtake (another car);  
超前	超前	chāo qián	to be ahead of one's time; to surpass or outdo one's predecessors; to be ahead of the pack; to take the lead; advanced;  
超速	超速	chāo sù	to exceed the speed limit; to speed; high-speed;  
朝代	朝代	cháo dài	dynasty; reign (of a king);  
朝着	朝著	cháo zhe	facing; advancing (towards);  
嘲弄	嘲弄	cháo nòng	to tease; to poke fun at; to make fun of;  
嘲笑	嘲笑	cháo xiào	to jeer at; to deride; to ridicule; mockery; derision;  
吵嘴	吵嘴	chǎo zuǐ	to quarrel;  
车道	車道	chē dào	traffic lane; driveway;  
车祸	車禍	chē huò	traffic accident; car crash; CL:場|场[chang2];  
车间	車間	chē jiān	workshop; CL:個|个[ge4];  
车轮	車輪	chē lún	wheel;  
车速	車速	chē sù	vehicle speed;  
车位	車位	chē wèi	parking spot; unloading point; garage place; stand for taxi;  
车厢	車廂	chē xiāng	carriage; CL:節|节[jie2];  
车型	車型	chēxíng	Model
车轴	車軸	chē zhoú	axle; CL:根[gen1];  
扯	扯	chě, chě	variant of 扯[che3]; to pull; to tear;  
彻夜	徹夜	chè yè	the whole night;  
撤	撤	chè	to remove; to take away; to withdraw;  
撤换	撤換	chè huàn	recall; dismiss and replace;  
沉甸甸	沉甸甸	chén diàn diàn	heavy;  
沉淀	沉澱	chén diàn	to settle; to precipitate (solid sediment out of a solution);  
沉浸	沉浸	chén jìn	to soak; to permeate; to immerse;  
沉闷	沉悶	chén mèn	oppressive (of weather); heavy; depressed; not happy; (of sound) dull; muffled;  
沉迷	沉迷	chén mí	to be engrossed; to be absorbed with; to lose oneself in; to be addicted to;  
沉思	沉思	chén sī	to contemplate; to ponder; contemplation; meditation;  
沉稳	沉穩	chén wěn	steady; calm; unflustered;  
沉着	沉著	chén zhuó	steady; calm and collected; not nervous;  
陈旧	陳舊	chén jiù	old-fashioned;  
陈列	陳列	chén liè	to display; to exhibit;  
陈述	陳述	chén shù	an assertion; to declare; to state;  
衬托	襯托	chèn tuō	to set off;  
趁	趁	chèn, chèn	old variant of 趁[chen4];  
趁机	趁機	chèn jī	to seize an opportunity; to take advantage of situation;  
趁早	趁早	chèn zǎo	as soon as possible; at the first opportunity; the sooner the better; before it's too late;  
趁着	趁著	chènzháo	Take advantage of
称呼	稱呼	chēng hu	to call; to address as; appellation;  
称作	稱作	chēng zuò	to be called; to be known as;  
成才	成纔	chéng cái	to make sth of oneself; to become a person who is worthy of respect;  
成家	成傢	chéng jiā	to settle down and get married (of a man); to become a recognized expert;  
成年	成年	chéng nián	to grow to adulthood; fully grown; the whole year;  
成年	成年	chéng nián	to grow to adulthood; fully grown; the whole year;  
成千上万	成韆上萬	chéng qiān shàng wàn	lit. by the thousands and tens of thousands (idiom); untold numbers; innumerable; thousands upon thousands;  
成群结队	成群結隊	chéng qún jié duì	making up a group, forming a troupe (idiom); in large numbers; as a large crowd;  
成天	成天	chéng tiān	(coll.) all day long; all the time;  
成问题	成問題	chéngwèntí	Problem
成型	成型	chéng xíng	to become shaped; to become formed;  
呈现	呈現	chéng xiàn	to appear; to emerge; to present (a certain appearance); to demonstrate;  
诚恳	誠懇	chéng kěn	sincere; honest; cordial;  
诚心诚意	誠心誠意	chéng xīn chéng yì	earnestly and sincerely (idiom); with all sincerity;  
诚意	誠意	chéng yì	sincerity; good faith;  
诚挚	誠摯	chéng zhì	sincere; cordial;  
承包	承包	chéng bāo	to contract; to undertake (a job);  
承载	承載	chéng zài	to bear the weight; to sustain;  
城墙	城牆	chéng qiáng	city wall;  
乘人之危	乘人之危	chéng rén zhī wēi	to take advantage of sb's precarious position;  
盛	盛	Shèng, chéng, shèng	surname Sheng;  to hold; to contain; to ladle; to pick up with a utensil;  flourishing; vigorous; magnificent; extensively;  
惩处	懲處	chéng chǔ	to punish; to administer justice;  
惩罚	懲罰	chéng fá	penalty; punishment; to punish;  
澄清	澄清	chéng qīng, dèng qīng	clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts);  to settle (of liquid); to become clear (by precipitation of impurities); precipitate (chemistry); to put in order; to quell disturbances;  
橙汁	橙汁	chéng zhī	orange juice; CL:瓶[ping2],杯[bei1],罐[guan4],盒[he2];  
逞能	逞能	chěng néng	to show off one's ability; to boast one's merits;  
逞强	逞強	chěng qiáng	to show off; to try to be brave;  
秤	秤	chēng, chèng	variant of 稱|称[cheng1], to weigh;  steelyard; Roman balance; CL:臺|台[tai2];  
吃不上	吃不上	chī bu shàng	unable to get anything to eat; to miss a meal;  
吃喝玩乐	吃喝玩樂	chī hē wán lè	to eat, drink and be merry (idiom); to abandon oneself to a life of pleasure;  
吃苦	吃苦	chī kǔ	to bear hardships;  
吃亏	吃虧	chī kuī	to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately;  
痴呆	癡呆	chī dāi, chī dāi	imbecility; dementia;  
痴迷	癡迷	chī mí	infatuated; obsessed;  
痴心	癡心	chī xīn	infatuation;  
池塘	池塘	chí táng	pool; pond;  
驰名	馳名	chí míng	famous;  
迟迟	遲遲	chí chí	late (with a task etc); slow;  
迟疑	遲疑	chí yí	to hesitate;  
迟早	遲早	chí zǎo	sooner or later;  
持	持	chí	to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control;  
持久	持久	chí jiǔ	lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long;  
持之以恒	持之以恒	chí zhī yǐ héng	to pursue unremittingly (idiom); to persevere;  
尺度	尺度	chǐ dù	scale; yardstick;  
耻辱	恥辱	chǐ rǔ	disgrace; shame; humiliation;  
耻笑	恥笑	chǐ xiào	to sneer at sb; to ridicule;  
赤字	赤字	chì zì	(financial) deficit; red letter;  
翅膀	翅膀	chì bǎng	wing; CL:個|个[ge4],對|对[dui4];  
冲刺	衝刺	chōng cì	to sprint; to spurt; to dash; big effort;  
冲浪	衝浪	chōng làng	to surf; surfing;  
冲洗	衝洗	chōng xǐ	to rinse; to wash; to develop (photographic film);  
冲撞	衝撞	chōng zhuàng	to collide; jerking motion; to impinge; to offend; to provoke;  
充	充	chōng	to fill; to satisfy; to fulfill; to act in place of; substitute; sufficient; full;  
充当	充當	chōng dāng	to serve as; to act as; to play the role of;  
充沛	充沛	chōng pèi	abundant; plentiful; vigorous;  
充实	充實	chōng shí	rich; full; substantial; to enrich; to augment; to substantiate (an argument);  
重播	重播	zhòngbō	Replay
重叠	重疊	chóng dié	to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll);  
重返	重返	chóng fǎn	to return to;  
重合	重閤	chóng hé	to match up; to coincide;  
重申	重申	chóng shēn	to reaffirm; to reiterate;  
重现	重現	chóng xiàn	to reappear;  
崇高	崇高	chóng gāo	majestic; sublime;  
崇尚	崇尚	chóng shàng	to hold up (as an model); to hold in esteem; to revere; to advocate;  
宠	寵	chǒng	to love; to pamper; to spoil; to favor;  
宠爱	寵愛	chǒng ài	to dote on sb;  
抽签	抽簽	choū qiān	to perform divination with sticks; to draw lots; a ballot (in share dealing);  
抽屉	抽屜	choū ti	drawer;  
抽象	抽象	choū xiàng	abstract; abstraction; CL:種|种[zhong3];  
仇	仇	Qiú, choú, qiú	surname Qiu;  hatred; animosity; enmity; foe; enemy; to feel animosity toward (the wealthy, foreigners etc);  spouse; companion;  
仇恨	仇恨	choú hèn	to hate; hatred; enmity; hostility;  
仇人	仇人	choú rén	foe; one's personal enemy;  
稠	稠	choú	dense; crowded; thick; many;  
稠密	稠密	choú mì	dense;  
愁眉苦脸	愁眉苦臉	choú méi kǔ liǎn	to look anxious (idiom); to look miserable;  
筹	籌	choú	chip (in gambling); token (for counting); ticket; to prepare; to plan; to raise (funds); resource; means;  
筹办	籌辦	choú bàn	to arrange; to make preparations;  
筹备	籌備	choú bèi	preparations; to get ready for sth;  
筹措	籌措	choú cuò	to raise (money);  
筹划	籌劃	choú huà	to plan and prepare;  
筹集	籌集	choú jí	to collect money; to raise funds;  
筹码	籌碼	choú mǎ	bargaining chip; gaming chip; casino token;  
丑恶	醜惡	choǔ è	ugly; repulsive;  
丑陋	醜陋	choǔ loù	ugly;  
丑闻	醜聞	choǔ wén	scandal;  
瞅	瞅	choǔ, choǔ	old variant of 瞅[chou3];  
出版社	齣版社	chū bǎn shè	publishing house;  
出厂	齣廠	chū chǎng	to leave the factory (of finished goods);  
出丑	齣醜	chū choǔ	shameful; scandalous; to be humiliated; to make a fool of sb or oneself; to make sb lose face;  
出道	齣道	chū dào	to make one's first public performance (of an entertainer etc); to start one's career;  
出发点	齣發點	chū fā diǎn	starting point; (fig.) basis; motive;  
出风头	齣風頭	chū fēng tou	to push oneself forward; to seek fame; to be in the limelight; same as 出鋒頭|出锋头[chu1 feng1 tou5];  
出境	齣境	chū jìng	to leave a country or region; emigration; outbound (tourism);  
出局	齣局	chū jú	to send off (player for a foul); to knock out (i.e. to beat in a knock-out tournament); to eliminate; to call out; to kill off; to pull out of (a competition); to retire (a runner in baseball); out (i.e. man out in baseball);  
出具	齣具	chū jù	to issue (document, certificate etc); to provide;  
出口成章	齣口成章	chū koǔ chéng zhāng	to speak like a printed book; quick and clever talking; the gift of the gab;  
出卖	齣賣	chū mài	to offer for sale; to sell; to sell out or betray;  
出毛病	齣毛病	chū máo bìng	a problem appears; to break down;  
出难题	齣難題	chū nán tí	to raise a tough question;  
出人意料	齣人意料	chū rén yì liào	unexpected (idiom); surprising;  
出任	齣任	chū rèn	to take up a post; to start in a new job;  
出山	齣山	chū shān	to leave the mountain (of a hermit); to come out of obscurity to a government job; to take a leading position;  
出身	齣身	chū shēn	to be born of; to come from; family background; class origin;  
出示	齣示	chū shì	to show; to take out and show to others; to display;  
出手	齣手	chū shoǔ	to dispose of; to spend (money); to undertake a task;  
出头	齣頭	chū toú	to get out of a predicament; to stick out; to take the initiative; remaining odd fraction after a division; a little more than;  
出土	齣土	chū tǔ	to dig up; to appear in an excavation; unearthed; to come up out of the ground;  
出息	齣息	chū xī, chū xi	to yield interest, profit etc; to exhale (Buddhism);  future prospects; profit; to mature; to grow up;  
出血	齣血	chū xuè	to bleed; bleeding; (fig.) to spend money in large amounts;  
出演	齣演	chū yǎn	to appear (in a show etc); an appearance (on stage etc);  
出洋相	齣洋相	chū yáng xiàng	to make a fool of oneself;  
出游	齣遊	chū yoú	to go on a tour; to have an outing;  
出众	齣眾	chū zhòng	to stand out; outstanding;  
出主意	齣主意	chūzhǔyì	Idea
出资	齣資	chū zī	to fund; to put money into sth; to invest;  
出自	齣自	chū zì	to come from;  
出走	齣走	chū zoǔ	to leave home; to go off; to run away;  
初次	初次	chū cì	for the first time; first (meeting, attempt etc);  
初衷	初衷	chū zhōng	original intention or aspiration;  
除此之外	除此之外	chú cǐ zhī wài	apart from this; in addition to this;  
除去	除去	chú qù	to eliminate; to remove; except for; apart from;  
除外	除外	chú wài	to exclude; not including sth (when counting or listing); except for;  
处方	處方	chǔ fāng	medical prescription; recipe; formula;  
处境	處境	chǔ jìng	situation (of a person);  
处置	處置	chǔ zhì	to handle; to take care of; to punish;  
储备	儲備	chǔ bèi	reserves; to store up;  
储蓄	儲蓄	chǔ xù	to deposit money; to save; savings;  
触动	觸動	chù dòng	to touch; to stir up (trouble or emotions); to move (sb's emotions or worry);  
触犯	觸犯	chù fàn	to offend;  
触觉	觸覺	chù jué	touch; sense of touch;  
触摸	觸摸	chù mō	to touch;  
触目惊心	觸目驚心	chù mù jīng xīn	lit. shocks the eye, astonishes the heart (idiom); shocking; horrible to see; a ghastly sight;  
揣	揣	chuāi, chuǎi	to put into (one's pockets, clothes); Taiwan pr. [chuai3];  to estimate; to guess; to figure; to surmise;  
揣测	揣測	chuǎi cè	to guess; to conjecture;  
揣摩	揣摩	chuǎi mó	to analyze; to try to figure out; to try to fathom;  
踹	踹	chuài	to kick; to trample; to tread on;  
川流不息	川流不息	chuān liú bù xī	the stream flows without stopping (idiom); unending flow;  
穿过	穿過	chuān guò	to pass through;  
穿小鞋	穿小鞋	chuān xiǎo xié	lit. to make sb wear tight shoes (idiom); to make life difficult for sb;  
穿越	穿越	chuān yuè	to pass through; to cross; to overcome;  
穿着	穿著	chuān zhuó	attire; clothes; dress;  
传承	傳承	chuán chéng	to pass on (to future generations); passed on (from former times); a continued tradition; an inheritance;  
传奇	傳奇	chuán qí	legendary; fantasy saga; romance; short stories of the Tang and Song Dynasty;  
传染	傳染	chuán rǎn	to infect; contagious;  
传染病	傳染病	chuán rǎn bìng	infectious disease; contagious disease; pestilence;  
传人	傳人	chuán rén	to teach; to impart; a disciple; descendant;  
传授	傳授	chuán shoù	to impart; to pass on; to teach;  
传闻	傳聞	chuán wén	rumor;  
船舶	船舶	chuán bó	shipping; boats;  
船桨	船槳	chuánjiǎng	Marker
喘	喘	chuǎn	to gasp; to pant; asthma;  
喘息	喘息	chuǎn xī	to gasp for breath; to take a breather;  
串门	串門	chuàn mén	to call on sb; to drop in; to visit sb's home;  
创伤	創傷	chuāng shāng	wound; injury; trauma;  
床位	床位	chuáng wèi	bed (in hospital, hotel, train etc); berth; bunk;  
创	創	chuàng, chuàng, chuāng, chuàng	to begin; to initiate; to inaugurate; to start; to create;  a wound; cut; injury; trauma;  
创始人	創始人	chuàng shǐ rén	creator; founder; initiator;  
吹了	吹瞭	chuī le	failed; busted; to have not succeeded; to have died; to have parted company; to have chilled (of a relationship);  
吹牛	吹牛	chuī niú	to talk big; to shoot off one's mouth; to chat (dialect);  
吹捧	吹捧	chuī pěng	to flatter; to laud sb's accomplishments; adulation;  
垂	垂	chuí	to hang (down); droop; dangle; bend down; hand down; bequeath; nearly; almost; to approach;  
